backend,backend_label,axis,conductance_model,status,k_m2,k_mD,mass_balance_error,reference_viscosity,error
native_maximal_ball,Native maximal-ball,x,auto,ok,2.686761987480559e-12,2722.361492003035,3.0811445388889914e-19,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,y,auto,ok,3.79970474124391e-12,3850.050699222432,3.036231537737355e-19,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,z,auto,ok,3.9164487444022786e-12,3968.3415564332895,2.0829151868860992e-19,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,x,generic_poiseuille,ok,2.1537114297220157e-13,218.22480325695173,4.467248695799757e-20,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,y,generic_poiseuille,ok,3.1130392234614306e-13,315.4286886793969,3.353007104307655e-20,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,z,generic_poiseuille,ok,3.2633867990297343e-13,330.6626562600897,3.447647603659437e-20,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,x,hagen_poiseuille,ok,9.186162912285572e-12,9307.879256965127,9.016737178811882e-19,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,y,hagen_poiseuille,ok,1.3047038084647682e-11,13219.910893427768,9.94754600695933e-19,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,z,hagen_poiseuille,ok,1.3341134354972014e-11,13517.903929284083,7.541460948086703e-19,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,x,valvatne_blunt,ok,2.686761987480559e-12,2722.361492003035,3.0811445388889914e-19,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,y,valvatne_blunt,ok,3.79970474124391e-12,3850.050699222432,3.036231537737355e-19,0.0008893800376331526,
native_maximal_ball,Native maximal-ball,z,valvatne_blunt,ok,3.9164487444022786e-12,3968.3415564332895,2.0829151868860992e-19,0.0008893800376331526,
porespy,PoreSpy snow2,x,auto,ok,6.747338571019396e-13,683.6740576516327,9.694162473425323e-20,0.0008893800376331526,
porespy,PoreSpy snow2,y,auto,ok,7.632023585395916e-13,773.3147637102007,8.679293301121636e-20,0.0008893800376331526,
porespy,PoreSpy snow2,z,auto,ok,7.59631405169363e-13,769.6964953298427,8.611156733279671e-20,0.0008893800376331526,
porespy,PoreSpy snow2,x,generic_poiseuille,ok,4.041940037050674e-13,409.5495604421006,1.1329533880018189e-19,0.0008893800376331526,
porespy,PoreSpy snow2,y,generic_poiseuille,ok,4.888628882562249e-13,495.34030482026805,1.2908000262255538e-19,0.0008893800376331526,
porespy,PoreSpy snow2,z,generic_poiseuille,ok,4.793190411405547e-13,485.6700020564462,1.544170469407995e-19,0.0008893800376331526,
porespy,PoreSpy snow2,x,hagen_poiseuille,ok,1.6730656797902094e-12,1695.2337428756716,2.6509481682844605e-19,0.0008893800376331526,
porespy,PoreSpy snow2,y,hagen_poiseuille,ok,2.0247827662471784e-12,2051.61106870937,2.9787715109925174e-19,0.0008893800376331526,
porespy,PoreSpy snow2,z,hagen_poiseuille,ok,2.0571068172886343e-12,2084.3634123225524,3.3792269338821e-19,0.0008893800376331526,
porespy,PoreSpy snow2,x,valvatne_blunt,ok,1.1088626814738288e-12,1123.555074111462,2.871325490116856e-19,0.0008893800376331526,
porespy,PoreSpy snow2,y,valvatne_blunt,ok,1.3394059133095333e-12,1357.1529958908998,2.905461898818672e-19,0.0008893800376331526,
porespy,PoreSpy snow2,z,valvatne_blunt,ok,1.3383392774530892e-12,1356.0722271458067,3.3152594029083767e-19,0.0008893800376331526,
prego,PREGO,x,auto,ok,1.2400678592293444e-12,1256.498715988714,1.848843395124075e-19,0.0008893800376331526,
prego,PREGO,y,auto,ok,1.482608639741375e-12,1502.2531535544606,1.8429493764955573e-19,0.0008893800376331526,
prego,PREGO,z,auto,ok,1.501295975026667e-12,1521.1880953937018,1.89510849982779e-19,0.0008893800376331526,
prego,PREGO,x,generic_poiseuille,ok,7.692249911381521e-13,779.4171959848876,1.6688480963557988e-19,0.0008893800376331526,
prego,PREGO,y,generic_poiseuille,ok,9.140436881774867e-13,926.1547358112699,1.4564053179328206e-19,0.0008893800376331526,
prego,PREGO,z,generic_poiseuille,ok,9.080645842713371e-13,920.0964089826808,1.8262877146307858e-19,0.0008893800376331526,
prego,PREGO,x,hagen_poiseuille,ok,1.714050911786063e-12,1736.7620277949288,3.318817201874521e-19,0.0008893800376331526,
prego,PREGO,y,hagen_poiseuille,ok,2.062414993534357e-12,2089.7419217221404,3.396695781054813e-19,0.0008893800376331526,
prego,PREGO,z,hagen_poiseuille,ok,2.147268661791115e-12,2175.7198981836937,3.2715648557718836e-19,0.0008893800376331526,
prego,PREGO,x,valvatne_blunt,ok,1.3348519531659082e-12,1352.538695930989,2.3564508541776734e-19,0.0008893800376331526,
prego,PREGO,y,valvatne_blunt,ok,1.6122325568288917e-12,1633.594583113897,2.7977601089456725e-19,0.0008893800376331526,
prego,PREGO,z,valvatne_blunt,ok,1.660266034325438e-12,1682.2645025458796,2.880272144930585e-19,0.0008893800376331526,
